   43.869570 cm^{-1} ... 1 
   31.764163 cm^{-1} ... 1 
    5.638480 cm^{-1} ... 1 
    6.205044 cm^{-1} ... 0 
   37.673234 cm^{-1} ... 0 
   44.684580 cm^{-1} ... 0 
  177.686339 cm^{-1} ... 0 
  195.687184 cm^{-1} ... 0 
  260.063958 cm^{-1} ... 0 
  681.815903 cm^{-1} ... 0 
  732.157180 cm^{-1} ... 0 
  880.150699 cm^{-1} ... 0 
  922.428330 cm^{-1} ... 0 
  956.933213 cm^{-1} ... 0 
 1017.251955 cm^{-1} ... 0 
 1290.378712 cm^{-1} ... 0 
 1314.002715 cm^{-1} ... 0 
 1409.786098 cm^{-1} ... 0 
 1420.383126 cm^{-1} ... 0 
 1428.858032 cm^{-1} ... 0 
 1435.768560 cm^{-1} ... 0 
 2963.173088 cm^{-1} ... 0 
 2964.250906 cm^{-1} ... 0 
 3035.103234 cm^{-1} ... 0 
 3044.995955 cm^{-1} ... 0 
 3066.482297 cm^{-1} ... 0 
 3072.173963 cm^{-1} ... 0 
